Stock,Loss,RMSE
A,0.001163847977295518,0.9943961768768976
AAL,0.0015940330922603607,2.066536162507418
AAP,0.001960078487172723,7.137658814665278
AAPL,0.0004691324138548225,2.286468005738436
ABC,0.0034514006692916155,5.270338613408664
ABT,0.0007345639751292765,0.8004078287709435
ACN,0.0007170700700953603,2.295691657282461
ADBE,0.0006376603269018233,2.1971706279799554
ADI,0.0024613935966044664,2.096124895031257
ADM,0.0013657015515491366,1.0920323812881738
ADP,0.0017496298532932997,2.5859200127297908
ADS,0.0012007348705083132,8.900612043892423
ADSK,0.0027900857385247946,2.625216351377081
AEE,0.001021808828227222,0.9647260784763256
AEP,0.0009273624746128917,1.2272405658622279
AES,0.0015347003936767578,0.2754019402405577
AET,0.002353540388867259,5.172002387290047
AFL,0.0005526596214622259,1.006643032232547
AGN,0.003789245616644621,18.57847442387457
AIG,0.0008029729942791164,1.2601361778270037
AIV,0.0020655072294175625,1.4716012350211547
AIZ,0.00296975439414382,3.405419696983602
AJG,0.0024967011995613575,1.454040241932495
AKAM,0.00198749708943069,2.6619523986652984
ALB,0.0010772808454930782,1.6988638657581565
ALK,0.004165611695498228,5.066190341062538
ALL,0.002400666940957308,2.4449288760132974
ALXN,0.0011626147897914052,6.311039190014609
AMAT,0.0009444205788895488,0.6367552692701677
AME,0.0012048031203448772,1.4380081890367213
AMG,0.001303072669543326,6.076031899690397
AMGN,0.0020449026487767696,5.802706666540514
AMP,0.004866980481892824,7.114505571192934
AMT,0.0029404887463897467,4.2827896935630685
AMZN,0.0008129372727125883,20.776745296595088
AN,0.0011481664841994643,1.6471304936330047
ANTM,0.0009835505625233054,3.8766092198534063
AON,0.0015660630306228995,3.0764421354870137
APA,0.0003565468068700284,1.869173985602357
APC,0.0005515604862011969,1.9293192235844738
APD,0.0018907322082668543,3.753737861504571
APH,0.002642721403390169,2.386332707994156
ARNC,0.14935749769210815,3.2997555484656482
ATVI,0.0009209697600454092,1.0518433351729473
AVB,0.0008885071147233248,3.511066321334359
AVGO,0.001597122522071004,6.418218169243929
AVY,0.0008335703168995678,1.5841857434926476
AWK,0.001699496409855783,2.673025576325391
AXP,0.0011709738755598664,2.020661593081864
AYI,0.0015102913603186607,9.528298500547203
AZO,0.0008352590375579894,19.120785278635335
BA,0.000632879848126322,2.569293759178166
BAC,0.004959715064615011,1.0204623688256644
BAX,0.0015280772931873798,1.057298888658199
BBBY,0.0019013567361980677,1.9412746683674647
BBT,0.008366386406123638,2.0516270120206634
BBY,0.0012007687473669648,1.2921770304294848
BCR,0.0013579382793977857,5.999954923071588
BDX,0.0013909502886235714,4.27629693599852
BEN,0.001067334320396185,0.9969821849711041
BHI,0.0007350236410275102,1.1947964606536272
BIIB,0.0006188632105477154,10.691119433216164
BK,0.003492653602734208,1.6287585744743278
BLK,0.0026386985555291176,12.374103162862536
BLL,0.0007321773446165025,1.5646735757738734
BMY,0.0010938902851194143,1.7969112224954944
BSX,0.0005369172431528568,0.45207538707510114
BWA,0.0006851099897176027,1.3215555867109836
BXP,0.001600863179191947,3.2908880231783684
C,0.0023393318988382816,1.8006902694366906
CA,0.0009681052761152387,0.5255223526501347
CAG,0.002304176799952984,1.017936963560253
CAH,0.0015727131394669414,2.440518638214277
CAT,0.0010045887902379036,2.0735027010472393
CB,0.0014379579806700349,3.155360020284647
CBG,0.0011439205845817924,0.9050741172627387
CBS,0.002822841750457883,2.915797366306174
CCI,0.0016974570462480187,2.7909015951175733
CCL,0.0011671343818306923,0.8786808404512377
CELG,0.001054382068105042,3.7179579367810445
CERN,0.0020369072444736958,2.562939546947508
CF,0.0019208132289350033,2.5072600664006095
CHD,0.0017231941455975175,1.5250245635470772
CHK,0.0003599138290155679,0.6089758413356438
CHRW,0.0007124976837076247,0.842420035224195
CI,0.0013986502308398485,5.235795318004968
CINF,0.0010751683730632067,1.7647458646641172
CL,0.002100747311487794,1.7597928111164702
CLX,0.0008991371723823249,2.400949142063073
CMA,0.011975021101534367,3.356231824280755
CMCSA,0.001352123450487852,1.9382119123576835
CME,0.0043833497911691666,4.2743161593944095
CMG,0.0006378873367793858,16.955656477770795
CMI,0.0008296346059069037,3.323622334246615
CMS,0.001316287089139223,1.1577167807815814
CNC,0.001811905880458653,3.087985377075877
CNP,0.001043197582475841,0.4082539608581553
COF,0.003447804832831025,3.3516230635176867
COG,0.0009987412486225367,1.101754939128795
COH,0.0002621605817694217,0.8353128448060956
COL,0.0029188788030296564,2.923383090569393
COO,0.0007714100647717714,4.3064005388479645
COP,0.00045369993313215673,1.1689562958077322
COST,0.0018564307829365134,4.973455161059807
CPB,0.0012877612607553601,1.3557492534699558
CRM,0.0016869755927473307,2.80322121967413
CSCO,0.0004014482838101685,0.36345622156203855
CSX,0.001664968323893845,0.9711359666043371
CTAS,0.0022258777171373367,4.50514175859061
CTL,0.002966581843793392,1.3376929589105258
CTSH,0.0006326045258902013,1.2123085255659356
CTXS,0.001182115520350635,1.656520084859314
CVS,0.003623708849772811,5.2052540436028565
CVX,0.0008396307239308953,1.957065278880711
CXO,0.0009616783354431391,3.2604892903097085
D,0.0011171014048159122,1.469278048781523
DAL,0.0014406745322048664,1.732321477863023
DD,0.0005393648170866072,1.065491150407286
DE,0.001341920462436974,1.8418686466398961
DFS,0.0027215478476136923,2.81448781703249
DG,0.0007096886401996017,1.997998159575755
DGX,0.0018332106992602348,1.835094214224063
DHI,0.0010065586538985372,0.8236152175054401
DHR,0.001341798109933734,2.023761395138701
DIS,0.00041199265979230404,1.881384266055544
